,year,GDP,Per_Capita,Annual_percent_geowth
0,2022,3416650000000.0,2411.0,7.24
1,2021,3150310000000.0,2238.0,9.05
2,2020,2671600000000.0,1913.0,-5.83
3,2019,2835610000000.0,2050.0,3.87
4,2018,2702930000000.0,1974.0,6.45
5,2017,2651470000000.0,1958.0,6.8
6,2016,2294800000000.0,1714.0,8.26
7,2015,2103590000000.0002,1590.0,8.0
8,2014,2039130000000.0,1560.0,7.41
9,2013,1856720000000.0,1438.0,6.39
10,2012,1827640000000.0,1434.0,5.46
11,2011,1823050000000.0,1450.0,5.24
12,2010,1675620000000.0,1351.0,8.5
13,2009,1341890000000.0,1097.0,7.86
14,2008,1198900000000.0,994.0,3.09
15,2007,1216740000000.0,1023.0,7.66
16,2006,940260000000.0,802.0,8.06
17,2005,820380000000.0,711.0,7.92
18,2004,709150000000.0,624.0,7.92
19,2003,607700000000.0,544.0,7.86
20,2002,514940000000.00006,469.0,3.8
21,2001,485440000000.0,450.0,4.82
22,2000,468390000000.0,442.0,3.84
23,1999,458820000000.0,441.0,8.85
24,1998,421350000000.0,413.0,6.18
25,1997,415870000000.0,415.0,4.05
26,1996,392900000000.0,400.0,7.55
27,1995,360280000000.0,374.0,7.57
28,1994,327280000000.0,346.0,6.66
29,1993,279300000000.0,302.0,4.75
30,1992,288210000000.0,318.0,5.48
31,1991,270110000000.0,304.0,1.06
32,1990,320980000000.0,369.0,5.53
33,1989,296040000000.0,347.0,5.95
34,1988,296590000000.0,356.0,9.63
35,1987,279030000000.0,342.0,3.97
36,1986,248990000000.0,312.0,4.78
37,1985,232510000000.0,298.0,5.25
38,1984,212160000000.0,278.0,3.82
39,1983,218260000000.0,293.0,7.29
40,1982,200720000000.0,275.0,3.48
41,1981,193490000000.0,271.0,6.01
42,1980,186330000000.0,267.0,6.74
43,1979,152990000000.0,225.0,-5.24
44,1978,137300000000.00002,206.0,5.71
45,1977,121490000000.0,186.0,7.25
46,1976,102720000000.0,161.0,1.66
47,1975,98470000000.0,158.0,9.15
48,1974,99530000000.0,163.0,1.19
49,1973,85520000000.0,143.0,3.3
50,1972,71460000000.0,123.0,-0.55
51,1971,67349999999.99999,118.0,1.64
52,1970,62420000000.0,112.0,5.16
53,1969,58450000000.0,107.0,6.54
54,1968,53090000000.0,100.0,3.39
55,1967,50130000000.0,96.0,7.83
56,1966,45870000000.0,90.0,-0.06
57,1965,59550000000.0,119.0,-2.64
58,1964,56480000000.0,115.0,7.45
59,1963,48420000000.0,101.0,5.99
60,1962,42160000000.0,90.0,2.93
61,1961,39230000000.0,86.0,3.72
62,1960,37030000000.0,83.0,0.0
